"group","n","r_squared","rmse","deviance_explained","smooth_p_value"
"All",92,0.486267387765128,0.037593796192795,0.503205240810271,0
"Temperate",57,0.429971632199132,0.0385422259402713,0.465607020094006,2.0313937957317e-06
"Arid",15,0.645624019457892,0.0320744862889225,0.721562350381736,0.00217753921548214
"Cold",20,0.586347192224224,0.0265547939896945,0.668994448059474,0.00207924732597714
